feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
ext_I_offQRS_rms,-0.003787387443250744,-0.03342932040437534,0.012790825175471345,0.00015220199118708895,False,False,0.0005211460517264658,False
ext_III_acc7,-0.003783004305055434,0.012370398799063211,-0.004946129355326953,0.9926900934899484,False,False,0.995956153406598,False
ext_AVF_acc19,-0.0037782381852586307,-0.001919162705213477,-0.005533872265944231,0.1789864800842439,False,False,0.26502882398078276,False
ext_V4_PR_rms,-0.003773814573155221,-0.004884983742473361,-0.012983902988465983,0.20510251174192928,False,False,0.29749620057922815,False
ext_V2_vel23,-0.0037517723399607137,0.09357607517352119,-0.017809634564827682,4.794257285467983e-05,False,False,0.00017905929227569182,False
ext_V4_amp46,0.003739019210133073,0.0054660062594471745,0.0026163352519790856,0.37579807150318756,False,False,0.4832667284328666,False
ext_AVF_acc18,0.0037296839761225254,-0.014344412770356512,0.0048686914759844095,0.14835967356427415,False,False,0.22596054137910945,False
ext_AVF_vel37,-0.003720825433175391,0.010816337939184696,-0.004653104427300895,0.0003880158454809815,False,False,0.0012175993601533947,False
ext_III_bodyQRS_area,-0.003718535488449203,0.007738943678515938,-0.010041212883088036,0.020690617571183182,False,False,0.04194765799335691,False
ext_V5_vel10,-0.003717673693892894,-0.0007481872159264133,-0.007671503418189224,0.25977615408218,False,False,0.3596900594984031,False
ext_V4_amp47,0.0037138463074038743,0.006661447949385014,0.0023091749731935997,0.13998537098936786,False,False,0.21489018750633193,False
ext_AVL_amp25,0.0037058347939664437,0.010766993404773035,0.003292981564539542,0.05459320871021225,False,False,0.09577366969669722,False
ext_V1_amp49,-0.003692767669197321,-0.009866619620119197,-0.002525409112737242,0.11132866400113184,False,False,0.17746857139663821,False
ext_V3_T_area,-0.003678302297487809,-0.028606024447324647,-0.0007287580665578199,0.14092823465539978,False,False,0.21620952011056302,False
ext_AVF_amp10,0.0036555790800466125,0.01242104599333412,0.0033445860106978147,1.2109498058844657e-06,False,False,5.796457796588246e-06,False
ext_AVL_vel8,-0.0036525227401684813,-0.014627630716079795,-0.003245715804282746,0.1255674479689649,False,False,0.19586117722300023,False
ext_AVR_acc28,-0.003650207056642319,-0.009311994709205889,0.000588511060182615,0.3645993475659173,False,False,0.47228461213935913,False
ext_V4_offQRS_max,0.0036430535217352486,0.006289484216090938,0.009810258515998779,0.8908854162133683,False,False,0.9271933341999801,False
ext_II_acc28,-0.0036411274168579857,-0.025664781940124802,-0.0049436912337498615,0.4555094235273116,False,False,0.5630331071925568,False
ext_III_acc28,0.0036379770392558556,-0.014767619207055136,0.004851393541761764,0.11143009240013232,False,False,0.17757565293645433,False
ext_AVL_amp47,0.003631294524141289,0.0278358386662902,0.0020680762248405996,0.13338550468867152,False,False,0.20665584468203024,False
ext_III_amp26,0.0036270297058742995,0.011162138110804373,0.002231420111619076,6.856682152688856e-07,False,False,3.4145091526934708e-06,False
ext_III_vel6,-0.0036211000022541425,0.002202747927662624,-0.004546976696885307,0.19179470460521308,False,False,0.28086546572695614,False
ext_I_offQRS_min,-0.0036122449710640973,0.02968622301427975,-0.023821009859965183,7.86555181067943e-05,False,False,0.0002839486113270345,False
ext_V1_acc3,0.003604845619809881,-0.002998753366352268,0.0039822475350473445,0.0351349482918069,False,False,0.06561223773225033,False
ext_AVL_amp24,0.003586561154935922,0.006498951413439919,0.0035996257840753714,0.3482818372826221,False,False,0.45524282513189934,False
ext_AVL_vel10,0.003584048404967921,0.012575264166907296,0.003423800470986588,0.13460108135264895,False,False,0.20829015096481557,False
ext_III_amp46,0.0035812145811130124,-0.0038354528371410627,0.004305431212210415,0.3759959383560868,False,False,0.48330348237985465,False
ext_AVL_vel46,-0.0035646471084334595,-0.0057237100661777516,-0.003956971765772326,0.7784968938718566,False,False,0.8435886074062928,False
med_AVF_acc16,0.0035534153444128636,-0.03338220537263045,0.036922028358700294,0.6665022207341451,False,False,0.7506294834424958,False
