feature,d,p_raw,ci_excl0,p_FDR,gate
frac_gt_1sd_V3,-0.31538458276636766,0.02451466241879286,True,0.037039843737863926,True
absmean_AVR,0.3136999533368231,0.01335013819809456,True,0.021115904862345644,True
slope_up_frac_III,-0.31304478997736646,0.009034238734277781,True,0.01464030652028051,True
sp_ratio_dhf_mf_V1,0.3123999941913833,0.3555430536774382,False,0.4139923928946594,False
tk_mean_AVF,0.3111604658828774,0.0008781304565318145,True,0.001643099771757983,True
tk_p95_AVF,0.3110743892805468,0.000507721594057197,True,0.0009868965924645918,True
sp_e_d1540_AVL,0.30980016107020647,0.00015153260929532956,True,0.00031253600667161723,True
ncross_3sd_V5,-0.30838208937647343,0.009998837882810996,True,0.016149402231191955,True
dabs_mean_I,0.30732500715918915,8.093238773415304e-08,True,2.4584482633889165e-07,True
frac_gt_3sd_V4,0.30662545763239435,0.003779603838102698,True,0.0065100649738139,True
sp_e_d1540_AVR,-0.30637479367642073,0.0015661311200441904,True,0.0028228174171677197,True
spf_35_38_II,-0.30574952990097687,8.453901798265208e-05,True,0.00018078152299088487,True
trev_8_V2,-0.3029709592180954,0.06204679346651832,True,0.08572021323823463,False
p75_AVR,0.30252206636213014,0.021387485241270918,True,0.03255202156218592,True
trev_2_V2,-0.3019582271005283,0.04685647232922863,True,0.06670156649219605,False
sp_flux_AVF,-0.30194642245604963,0.012153129908255126,True,0.019327869251682853,True
trev_4_V2,-0.30179494120939354,0.05136547197037696,True,0.07235013432286691,False
crest_V1,-0.30140435404043636,0.005848931091596356,True,0.009672719755122905,True
sp_e_lf_V6,0.30026126730131353,0.018491449354458886,True,0.028442356422324473,True
d_std_V6,-0.2993848917158285,0.028194796398187425,True,0.04164684066141215,False
ac_lag300_II,-0.2991554576141625,0.001107493807386785,True,0.0020485108386313526,False
rms_AVR,0.29861546499379704,0.016455885162102345,True,0.02550047519250011,False
ac_lag10_V2,0.29842378752539606,0.03332050651123456,True,0.04877154783700865,False
std_AVR,0.29837920646616994,0.016432188136665013,True,0.025490958519698292,False
sp_e_delta_hf_V1,-0.29833699441133427,0.04924538275487294,True,0.06976028854641513,False
tk_mean_V2,-0.2982845621482818,0.04337287565333613,True,0.06223064767652575,False
sp_ratio_hf_lf_V2,-0.2968317173500733,0.0017414480681836716,True,0.003117857700373232,False
ac_hr_bpm_V1,-0.2964006413061323,0.026827786269704793,True,0.0399937840488823,False
spf_0_2_V1,0.29573670410971165,0.013572633000786831,False,0.021421155562111393,False
skew_V6,-0.29562872428243936,0.05137258160253153,True,0.07235013432286691,False
frac_gt_2sd_AVL,0.2949231439820488,0.0007581099006841668,True,0.0014333015309810028,False
sp_log_d1540_V5,-0.29462959411077444,0.027938146091608922,True,0.041309763874761866,False
impulse_AVR,-0.29423713365920123,0.027438850912677604,True,0.040737435097349575,False
sp_e_delta_hf_AVR,-0.29380675696734454,0.004621749758988522,True,0.007830549183257098,False
skew_III,-0.2934118216924541,0.047956498098295795,True,0.06813388966607192,False
impulse_V6,-0.29312090540011954,0.016378115705054912,True,0.025488771708188352,False
sp_e_d1540_V1,-0.2929656879204738,0.06003288469280018,True,0.08333436766151611,False
ac_lag100_III,-0.2926170643648658,0.005198493152884558,True,0.008684605426530415,False
sp_e_vlf_AVR,0.2920629877593463,0.0007632750396815719,True,0.0014374518257038165,False
ac_mean_abs_V5,0.2920408988288748,0.0017852381779448357,True,0.003184478912009707,False
ncross_1sd_V2,-0.2916965037205291,0.09629498683325215,True,0.1276897907597097,False
ac_hr_bpm_V2,-0.2909653441419434,0.045559409577679316,True,0.06498257633279997,False
slope_updown_ratio_V3,0.29087154563908574,0.062298250876181765,True,0.08598579873784784,False
mean_V4,-0.29061765646889876,0.11681402620433744,False,0.15239350049299008,False
hj_mobility_V2,-0.29043074005161423,0.03233606591184445,True,0.04747418372497285,False
dasym_8_I,-0.28974199614785034,0.0009107732510924695,True,0.0016997978927844033,False
ncross_3sd_AVF,-0.2877918447682454,0.011841989646513267,True,0.01890341745180867,False
mean_AVR,0.2873396853572261,0.9988000339180907,False,0.9994883868015628,False
frac_gt_2sd_I,0.2873028612499362,0.0011726591499832972,True,0.002160788179918461,False
slope_up_frac_V2,-0.28720244774376824,0.0202294306329206,False,0.030919087662106014,False
spf_10_12_V3,-0.2871650542274902,0.0063382831612093975,True,0.010410845192393716,False
sp_rel_lf_II,-0.28605172805117546,0.027598400608939287,False,0.040932459330112206,False
sp_rel_vlf_AVR,0.2855977740757147,0.013433193111510597,True,0.021224152772484645,False
sp_flatness_AVR,-0.2850196576822172,0.0005702503292798551,True,0.0010923528735017804,False
sp_e_hf_V3,-0.2845783416622628,0.006253579951506912,True,0.010283350044833564,False
ac_peak_lag_ms_V1,0.28437105083096875,0.026827786269704793,True,0.0399937840488823,False
mean_V5,-0.28322301372171627,0.22208041787715838,False,0.27074791499381523,False
ac_lag200_V1,-0.2827465301491816,0.02481354217363277,False,0.03726387975795667,False
dabs_max_I,0.28274050030756914,0.00017891409684535147,True,0.00036692552064894116,False
mom6_AVR,-0.28261206564789143,0.01363077456809753,True,0.021489559905404576,False
sp_e_hf_II,-0.2823360230408812,0.00021629815143487608,True,0.00043986682896840344,False
tk_std_III,0.28211449957851503,4.3813065740930905e-10,True,2.0131826410073315e-09,False
sp_log_lf_V2,0.2812098018598135,0.00570153438699488,True,0.009450488504470965,False
sp_roll25_AVR,-0.2808364996991403,0.02371637813783067,True,0.03587102193346889,False
iqr_II,0.28041051637346387,0.024730533818227637,True,0.037211124460172565,False
hj_activity_II,0.2798853771065463,0.1352201539690062,True,0.17359828785410875,False
var_II,0.27988537710654593,0.1352201539690062,True,0.17359828785410875,False
kurt_AVF,-0.27981485668726996,0.034872472226389895,True,0.05099177207725894,False
mom6_V6,-0.2796558326778857,0.0018933086398819255,True,0.003368975668025191,False
ac_lag20_V2,0.27948129925279447,0.05268541779368686,True,0.07405539848638268,False
p95_V3,0.2794711712490934,0.014002768486963149,True,0.022028190512535746,False
sp_peak_pow_V6,0.2781425883477148,0.003648864752953612,True,0.006307323358676959,False
shape_II,-0.2766890754918336,0.02459384334597678,True,0.03708230585499303,False
slope_up_frac_V3,-0.2759647871594372,0.060410725361979306,False,0.08369448649497908,False
frac_gt_1sd_V5,-0.2757989272237407,0.020663068871465334,True,0.03151552100983999,False
zcr_V1,-0.2755254967317115,0.04373174529692292,True,0.06262178912340442,False
hj_activity_I,0.27494568588783663,1.4532255674075368e-15,True,3.044593175273182e-14,False
var_I,0.27494568588783663,1.4532255674075368e-15,True,3.044593175273182e-14,False
mean_V3,-0.27477999932739217,0.6968531044074115,True,0.7374859384836454,False
ncross_3sd_I,-0.27458651110800025,0.04371455981787285,True,0.06262178912340442,False
hj_complexity_V3,0.27446472316701065,6.337988447722883e-05,True,0.00013735461531483024,False
spf_25_28_V2,-0.27429581156686667,0.0979376076216109,True,0.12974945827242612,False
ac_peak_height_AVL,0.2741658585881785,0.038489885214837136,True,0.05560926699695873,False
sp_peak_pow_V1,0.2736151194036526,0.005737602332244307,True,0.009499428262735159,False
sp_e_delta_hf_III,0.27218737260604636,2.3329218176593704e-05,True,5.342906118677296e-05,False
spf_2_5_II,0.2715097008887144,0.07869458682323878,True,0.10659005603296894,False
spf_8_10_I,-0.2710278333045023,0.06950583179759443,False,0.09538985611541315,False
impulse_V2,-0.2702110665491523,0.060465231634458036,True,0.08369448649497908,False
sp_roll50_V1,-0.26886223301265094,0.011297072193905279,False,0.01810524152930515,False
sp_median_V1,-0.26886223301265094,0.011297072193905279,False,0.01810524152930515,False
sp_e_hf_V4,-0.26768688013382963,0.001028874508320885,True,0.0019079511955069285,False
trev_8_V3,-0.26670447489927557,0.13427081368310798,True,0.17299132339651532,False
spf_5_8_III,0.2666292163192116,0.010929392191226685,True,0.017554731705377375,False
mean_II,-0.2655383337851506,0.20913625540212144,True,0.25712603119718913,False
sp_e_hf_AVR,-0.2649148149153845,8.295988762336138e-06,True,2.0382023152135488e-05,False
ac_peak_lag_ms_I,0.263421885771752,0.07113329488547794,False,0.09725569131234837,False
ac_hr_bpm_V3,-0.263269970014688,0.05586610773549872,True,0.07822332539242445,False
sp_ratio_hf_mf_V3,-0.262318593467486,0.00016380351210222688,True,0.00033641117336977855,False
zcr_V3,-0.261768537803259,0.014605036839278693,True,0.02287649783239769,False
ac_hr_bpm_I,-0.26160611733559874,0.07113329488547794,True,0.09725569131234837,False
kurt_AVR,-0.26079261684159744,0.05801759192514102,True,0.08076849805877734,False
ac_lag200_AVR,-0.26077703138157493,0.05046677654742352,True,0.07135127511865527,False
frac_gt_2sd_V5,0.26071778234885906,0.005188683893139158,True,0.008679687802808821,False
sp_e_d1540_V3,-0.25966951000114924,0.0005188242239687553,True,0.0010031062226399901,False
sp_peak_V5,-0.25877006881562825,0.12915217126828674,True,0.1668407052326978,False
min_I,-0.25733294006927754,0.0001583336313989898,True,0.00032609990466855773,False
ac_lag20_V1,0.25729834085291065,0.013923771457827113,False,0.021927674790417535,False
mom6_AVF,-0.256808913345498,0.004198372876250912,True,0.007180256085178238,False
max_III,0.25464413531396674,0.000860340704403624,True,0.0016139724842300543,False
ac_lag100_AVR,-0.254210269791645,0.07092425780082592,False,0.0971528512516974,False
sp_bw_V1,-0.2540790431159629,0.027089176131265446,False,0.04034203460779223,False
spf_38_40_II,-0.25406937099548743,6.163646707827394e-05,False,0.00013377600926405646,False
sp_e_tot_II,0.25398490576450394,0.14527766841732906,True,0.1845522086981293,False
dabs_mean_V2,-0.2537406003958638,0.1808445568852215,True,0.22578357403038832,False
kurt_III,-0.2523467066917238,0.04425319575004313,True,0.06324374038293565,False
dasym_8_III,0.2512682907794217,0.0006362439043645445,True,0.0012107813225915053,False
ac_mean_abs_V2,-0.2508798628944225,0.040610115400502335,True,0.05861420234744472,False
sp_e_tot_AVR,0.2506813486052169,0.012888012312706346,True,0.0204294692991808,False
mom5_V4,0.2503284399028696,0.0114220888154422,True,0.018285416714467557,False
frac_gt_2sd_V1,0.24997022049093687,0.007146316730960134,True,0.011698367410771269,False
sp_rel_vlf_V3,-0.24953334444010755,0.09489826484437373,True,0.12629906558572931,False
ncross_2sd_V1,0.24813834396951073,0.4731944687737788,False,0.5305624468413335,False
p75_V6,-0.2474719731809845,0.042502229015140565,True,0.06104177698316924,False
ncross_3sd_III,-0.24714545016719372,0.016044018068359117,True,0.025022464269879096,False
sp_e_tot_I,0.2467425490232106,1.0546388757429428e-15,True,2.5282439980100728e-14,False
d_std_AVR,-0.24600583699045633,0.08320215077389823,False,0.11238095155693045,False
spf_15_18_V1,-0.24544602120215234,0.004095700556720924,False,0.007021200954378727,False
tk_p95_V4,-0.2451247681238912,0.0028180300085275715,True,0.004912100326989236,False
hj2_mobility_V2,-0.24490973246884395,0.11496685732018734,False,0.15052468604951488,False
hj_mobility_V1,-0.24446126544214938,0.03000333771128233,False,0.04422827041297659,False
impulse_AVL,-0.24439887301177565,0.02737968704423946,True,0.04073289506991362,False
shape_V3,-0.2443011831672722,0.16254136163265986,True,0.2043377117667724,False
dasym_4_I,-0.24404480664171202,0.0036642321793632303,True,0.006326355677093234,False
sp_e_delta_hf_V3,-0.24364839093982735,0.0005817126685234141,False,0.0011113773614421017,False
mean_I,-0.24348683818699662,0.03647865870301182,False,0.05296701243677317,False
sp_centroid_V1,-0.2426629940537525,0.019115918777176128,False,0.02937176091477221,False
sp_e_hf_AVF,-0.24190160020726706,0.07745524069866244,True,0.10500934593320062,False
skew_AVL,0.24141143916340949,0.36833815802734116,True,0.42762621640818044,False
sp_flatness_V3,-0.2411119388650109,0.011651693042416896,True,0.01863244305901909,False
ac_peak_height_I,0.24021111152288913,0.06726591809707187,True,0.09249063738347382,False
perm_ent_tau2_V6,-0.24003445789802783,0.019398126662841506,False,0.029773868831338125,False
perm_ent_tau2_II,-0.2394635592481103,0.04962111938446356,False,0.0702240402984806,False
tk_std_AVL,0.23666672784191084,5.962424051357797e-11,True,3.21837907902287e-10,False
sp_ratio_hf_mf_V1,0.23658606502877047,0.5010830313351204,False,0.5575268670487318,False
zcr_V2,-0.23621341974223542,0.04578904447547728,True,0.06524601823198528,False
sp_e_hf_V5,-0.23613013441406885,0.0001612816323876408,True,0.00033170103431565785,False
perm_ent_II,-0.23546333638059166,0.05554164348125339,False,0.07791929114471491,False
d_std_V3,-0.23538384454444555,0.019796860689351336,False,0.030321773967234324,False
tk_p95_V6,-0.23479586600479735,0.04784103206334779,True,0.06803641386481978,False
ac_peak_lag_ms_V3,0.23450458247744152,0.05586610773549872,False,0.07822332539242445,False
mom6_V5,-0.23424011864628952,0.03502714353864465,True,0.05116641088341251,False
dasym_2_I,-0.2338267874884255,0.004913932697345728,True,0.008267705998315176,False
sp_roll90_V1,-0.23328494710050227,0.07283606036959832,False,0.09911711308027812,False
ac_lag50_V6,0.23248013643551751,0.003265329777761994,False,0.005671362245586621,False
perm_ent_V6,-0.2323882343193868,0.036601551701615866,False,0.053092360710036195,False
sp_e_mf_V2,-0.23196779204441811,0.4749337108448539,True,0.5321016575206233,False
crest_V4,-0.22959063898100796,0.088113152086841,False,0.11835365109166802,False
sp_rel_mf_V3,-0.2276235283717598,0.024718695139051006,True,0.037211124460172565,False
spf_8_10_AVR,0.22528219435197105,0.09122989110302016,True,0.12208829666505555,False
p05_V2,0.22435700731081018,0.29447818724694685,True,0.35105281435350316,False
mom5_AVR,0.22333530056380108,0.06302402067719937,True,0.08690491740103845,False
d_std_V1,-0.22324125700581518,0.26004320284695104,True,0.3130868412386177,False
perm_ent_m4_II,-0.2226193840966578,0.06961535703817096,False,0.09544995129312958,False
p25_II,0.22211997273498146,0.0053128778411676335,False,0.008846672735522252,False
dasym_4_III,0.22194360336968852,0.0012995790706486943,True,0.0023825616295226064,False
ac_peak_height_II,0.2206529267566009,0.09263928666009862,False,0.12340572865180109,False
sp_peak_pow_AVR,0.21972795312926555,0.06527801141069008,False,0.08984234366665592,False
impulse_V4,-0.2184546139407193,0.23268739514782455,True,0.2827297889160178,False
hj_abs_mobility_V2,-0.2183353528424174,0.1252471189140212,False,0.1625190497436629,False
ac_peak_lag_ms_AVR,0.2177538270096405,0.1367458068008144,False,0.17493824799540308,False
dasym_2_III,0.21687806041995064,0.0015178712960636415,False,0.002751497031066676,False
tk_mean_V1,-0.21678028717514813,0.44582756117773004,True,0.5029849408159005,False
rng_V5,0.21399264974940063,0.09109756934333674,False,0.12202368144513372,False
dabs_max_V2,-0.21385247134271698,0.16250167031884877,True,0.2043377117667724,False
