feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
swtsym4_A6_V5_energy,0.058052350788340985,0.07849884589756899,0.056922213258850426,1.0072439424158716e-11,True,False,4.649675911299835e-11,False
swtdb4_A6_V5_energy,0.058052350788299775,0.07849884589753918,0.05692221325879644,1.0072439424158716e-11,True,False,4.649675911299835e-11,False
swtsym4_D6_V3_halfratio,-0.058037803857820154,-0.06333150686011904,-0.13560039449114994,0.8699589027934612,False,False,0.8944471644911608,False
dwtdb4_A6_V5_energy,0.05797935085076225,0.07694013368126078,0.05877763303873831,1.1848931639722223e-11,True,False,5.40492743164722e-11,False
wptdb4_b0_V5_energy,0.05797935085076225,0.07694013368126078,0.05877763303873831,1.1848931639722223e-11,True,False,5.40492743164722e-11,False
swtcoif3_D6_III_hjcomp,-0.05797017412502078,-0.2762745150303709,0.1590893420015416,0.28936301711530266,False,False,0.35153496908108145,False
swtsym4_D3_AVL_skew,-0.05767805285631504,-0.07821733054158651,0.1027423478177881,0.42533868571240985,False,False,0.4921144007641385,False
swtcoif3_D5_III_gini,0.05744450138189916,0.27430875221837125,-0.15895173238603832,0.13281553890975287,False,False,0.17713458334339108,False
wptdb4_b10_V6_crest,0.05733255420621775,0.22773605499770588,-0.0723310925124804,0.18039437462423913,False,False,0.23223397237450286,False
dwtdb4_D5_V2_p95,0.057321066995550424,-0.11491749762812549,0.2560376173814615,0.8287586901755878,False,False,0.8589702745730409,False
swtdb4_D3_V1_p95,0.05728168101545531,-0.24732760721630523,0.3234394232877806,0.7680628455471887,False,False,0.8086232861599268,False
dwtdb4_D6_AVR_halfratio,0.057197799562454306,0.06730225151066947,0.011654144903766374,0.4550633068074965,False,False,0.5217326790629363,False
swtdb4_D4_V3_crest,0.05718896351537374,0.26567892777218455,-0.11096401420414737,0.07568165340031527,False,False,0.10713182280485929,False
swtcoif3_D6_AVL_halfratio,0.05713280884534575,-0.024807380955839838,0.10263635137633305,0.4307565005215257,False,False,0.49757745351101446,False
swtcoif3_D5_II_logenergy,-0.057129547436547766,-0.23934722988586152,0.1504811085014128,0.7467736652902615,False,False,0.7895320982701179,False
swtdb4_D6_AVR_crest,-0.057117794810336,-0.07558230952303763,-0.051178896961573135,0.42724215989657655,False,False,0.49397406842016384,False
wptdb4_b9_V2_crest,-0.0570790446666351,0.2439525862652894,-0.315314902054969,0.7072493214266051,False,False,0.755889706197935,False
swtcoif3_A6_II_gini,-0.05707892588914978,0.07879010974975317,-0.16679243809115873,0.9912869081009671,False,False,0.993073010638086,False
swtsym4_A6_II_gini,-0.057075794360798626,0.07980285372154061,-0.16896737023423236,0.995556643318333,False,False,0.9963530886329877,False
swtdb4_cohD4D3_AVF,0.05682667492181051,-0.10516489868188743,0.15289660853019552,0.5843736152949702,False,False,0.6440981433779804,False
swtcoif3_D5_V6_p95,-0.05677556194503084,-0.02677069819024513,0.01931228923233776,0.46458615248407065,False,False,0.5299319014658338,False
swtsym4_D6_V1_gini,-0.05675164742347375,-0.07482046675783297,-0.17973868612346747,0.47033895057394937,False,False,0.5355121976500666,False
swtdb4_D5_AVF_gini,-0.0566497240242006,0.14326881763512594,-0.24725817400389039,0.8834583180202239,False,False,0.9062782745742518,False
dwtdb4_A6_AVF_gini,0.05664914303397838,0.3272702177277564,-0.1840871906762166,0.042141171393573804,False,False,0.0631812148454514,False
swtdb4_D5_V1_qrswe,0.05644109139091389,-0.1275203323389912,0.11819525766422713,0.02846659695438405,True,False,0.04378937939125047,False
swtcoif3_D4_I_maxabs,0.05640139101137743,0.07956122467271638,-0.042641294218838596,0.446829467481174,False,False,0.5137717498335926,False
swtdb4_A6_AVF_qrspolsigned,0.05620596685829693,0.19561750809574685,-0.17483069127017384,0.1440956091316778,False,False,0.19040254240689614,False
swtdb4_D5_V3_qrsonwe,0.0561182352794888,0.006374053865361476,0.1502993825483899,0.5692614152580406,False,False,0.630078328235177,False
swtsym4_D5_AVF_gini,-0.05609878807924758,0.186393901342409,-0.2829861013141496,0.9220711927591847,False,False,0.9392595984220495,False
wptdb4_b3_V5_crest,-0.0560719896750497,0.0313604211067022,-0.1700639824495807,0.8833488763532477,False,False,0.9062782745742518,False
dwtdb4_D3_V1_nover3,-0.056025222422716646,0.04412610498543873,-0.1688601398075159,0.6198816459856465,False,False,0.677563948560982,False
swtsym4_D4_V6_gini,-0.05589846007437374,0.13088661243962815,-0.17127611170681614,0.476951961398429,False,False,0.5420548750483167,False
swtdb4_D5_III_qrspolcons,-0.0557080847799181,0.008866843703086437,-0.12335975201588366,0.48812249473598157,False,False,0.5529918414441594,False
swtcoif3_A6_AVR_halfratio,-0.055611585303647,0.04261859311875132,-0.15594154818826145,0.6691922278988764,False,False,0.7240298180337249,False
dwtdb4_D5_III_kurt,-0.055585480093747267,-0.0500288472650286,-0.07633608863616445,0.8720805159140317,False,False,0.8964443101137664,False
